Material,SAP Description,Product Family,Family,Finance Category,FinCatDes,Product Category,Division,Lifecycle,Alias,Launch,EOL,SW,Metric1,Metric Comment
2300,301 AVM WHITE/WHITE,HED00027,301,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,,1/1/1998,1/1/1998,,ComplianceDate,This is very important target…
2304,301AVM-S,HED00027,301,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,,1/1/1998,1/1/1998,,ComplianceDate,This is very important target…
2305,301 AVM BLACK,HED00027,301,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,,1/1/1998,1/1/1998,,ComplianceDate,This is very important target…
2684,FREESTYLE SPEAKER BLACK LEFT,HED00218,FRSY,COMP-SPKR,Computer Speakers,Speakers,CED,End of Service Life,A2X,5/1/2003,,N/A,ComplianceDate,This is very important target…
3194,ACOUSTIMASS 3 BLACK SECOND,HED00010,AM3,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Sales,,8/1/1989,1/1/1990,,Profit%,This is very important target…
3218,ACOUSTIMASS 5 II BLACK,HED00012,AM5,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,COBRA,1/1/1998,1/1/1998,N/A,ComplianceDate,This is very important target…
3219,ACOUSTIMASS 5 II WHITE,HED00012,AM5,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,COBRA,1/1/1998,1/1/1998,N/A,ComplianceDate,This is very important target…
3579,AWMS II CD2000 110 VOLT,HED00234,AWMS,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Sales,FRANK,8/28/2006,10/1/2015,N/A,Profit%,This is very important target…
3783,201 III BLACK,HED00026,201,STEREOFLR,Floorstanding Speakers,Speakers,CED,Unknown,,1/1/1996,,,PartsNoLongerAvailDate,This is very important target…
3802,301 III BLACK LEFT,HED00027,301,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,SNICKERS,1/1/1991,1/1/1996,N/A,ComplianceDate,This is very important target…
3803,301 III BLACK RIGHT,HED00027,301,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,SNICKERS,1/1/1991,1/1/1996,N/A,ComplianceDate,This is very important target…
3821,ACOUSTIMASS 5 POWERED II BLK 120,HED00012,AM5,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Sales,COBRA,1/1/1998,1/1/1995,N/A,Profit%,This is very important target…
4156,ACOUSTIMASS 3 II BLACK SECOND,HED00010,AM3,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Sales,,1/1/1990,1/1/1994,,Profit%,This is very important target…
7918,151 ENVIRONMENTAL SPEAKER WHITE,HED00035,151,STEREOOUT,Outdoor Speakers,Speakers,CED,Maturity,,1/1/1994,1/1/2016,,PartsNoLongerAvailDate,This is very important target…
8070,LIFESTYLE 5 BLACK 110 VOLT,HED00175,LS05,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/1/2007,1/1/2012,,ComplianceDate,This is very important target…
8074,LIFESTYLE 5 WHITE 110 VOLT,HED00175,LS05,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,1/1/1992,1/1/1995,,ComplianceDate,This is very important target…
8456,ACOUSTIMASS 3 III BLACK,HED00010,AM3,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,,1/1/1994,1/1/2000,,ComplianceDate,
8457,ACOUSTIMASS 3 III WHITE,HED00010,AM3,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,,1/1/1994,1/1/2000,,ComplianceDate,
8593,ACOUSTIMASS 3 POWERED II BLK 115,HED00010,AM3,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,,1/1/1991,1/1/1994,,ComplianceDate,
8594,ACOUSTIMASS 3 POWERED II WHT 115,HED00010,AM3,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,,1/1/1991,1/1/1994,,ComplianceDate,
8595,AM3P II BLACK 230V,HED00010,AM3,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,,1/1/1994,1/1/1999,,ComplianceDate,
8782,LIFESTYLE 12 BLACK 120 VOLT,HED00182,LS12,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,1/1/1994,1/1/1998,,ComplianceDate,
8960,LIFESTYLE 12 BLACK 120 FRNWD,HED00182,LS12,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,1/1/1994,1/1/1998,,ComplianceDate,
9249,LIFESTYLE 12 WHITE 120 VOLT,HED00182,LS12,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,1/1/1994,1/1/1998,,ComplianceDate,
9484,LIFESTYLE 5 II BLACK 120 VOLT,HED00175,LS05,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,1/1/1992,1/1/1995,,ComplianceDate,
9490,LIFESTYLE 5 II WHITE 230V,HED00175,LS05,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,1/1/1995,1/1/1999,,ComplianceDate,
10052,LIFESTYLE 20 BLACK 120V,HED00184,LS20,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,1/1/1996,1/1/2003,,ComplianceDate,
10053,LIFESTYLE 20 WHITE 120 VOLT,HED00184,LS20,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,1/1/1996,1/1/2003,,ComplianceDate,
10055,LIFESTYLE 20 WH 230V,HED00184,LS20,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,1/1/1996,1/1/2003,,ComplianceDate,
10111,BOSE WAVE RADIO 120R SECOND,HED00237,AWR1,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Sales,,4/30/2012,9/1/2015,,Profit%,
10631,AWMS III IMPERIAL WHITE 110V,HED00234,AWMS,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Sales,,4/30/2012,9/1/2015,,Profit%,
11069,LIFESTYLE 5 II BLACK 120V FRNWD,HED00175,LS05,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,1/1/1995,1/1/1999,,ComplianceDate,
11582,BOSE WAVE RADIO GRAY 120 VOLT,HED00237,AWR1,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Sales,,4/30/2012,9/1/2015,,Profit%,
11707,301 IV BLACK,HED00027,301,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,STERLING,1/1/1996,1/1/2002,N/A,ComplianceDate,
11708,301 IV ROSEWOOD,HED00027,301,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,STERLING,1/1/1996,1/1/2002,N/A,ComplianceDate,
16016,ACOUSTIMASS 10 BLACK,HED00008,AM10,AM,Acoustimass,Premium Home Theater,CED,End of Service Life,,8/1/1996,1/1/1998,,ComplianceDate,
16017,ACOUSTIMASS 10 WHITE,HED00008,AM10,AM,Acoustimass,Premium Home Theater,CED,End of Service Life,,8/1/1996,1/1/1998,,ComplianceDate,
16035,POWERCASE AWMS SERIES III,HED00064,AWAC,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Sales,,,,,Profit%,
