Material,SAP Description,Product Family,Family,Finance Category,FinCatDes,Product Category,Division,Lifecycle,Alias,Launch,EOL,SW,Metric1,Metric Comment
2300,301 AVM WHITE/WHITE,HED00027,301,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,,1/1/1998,1/1/1998,,ComplianceDate,This is very important target…
2304,301AVM-S,HED00027,301,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,,1/1/1998,1/1/1998,,,This is very important target…
2305,301 AVM BLACK,HED00027,301,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,,1/1/1998,1/1/1998,,ComplianceDate,This is very important target…
2684,FREESTYLE SPEAKER BLACK LEFT,HED00218,FRSY,COMP-SPKR,Computer Speakers,Speakers,CED,End of Service Life,A2X,5/1/2003,,N/A,,This is very important target…
3194,ACOUSTIMASS 3 BLACK SECOND,HED00010,AM3,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Sales,,8/1/1989,1/1/1990,,Profit%,This is very important target…
3218,ACOUSTIMASS 5 II BLACK,HED00012,AM5,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,COBRA,1/1/1998,1/1/1998,N/A,ComplianceDate,This is very important target…
3219,ACOUSTIMASS 5 II WHITE,HED00012,AM5,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,COBRA,1/1/1998,1/1/1998,N/A,ComplianceDate,This is very important target…
3579,AWMS II CD2000 110 VOLT,HED00234,AWMS,WAVEXWIFI,Wave (No WiFi),Legacy,CED,End of Sales,FRANK,8/28/2006,10/1/2015,N/A,Profit%,This is very important target…
3783,201 III BLACK,HED00026,201,STEREOFLR,Floorstanding Speakers,Speakers,CED,Unknown,,1/1/1996,,,PartsNoLongerAvailDate,This is very important target…
3802,301 III BLACK LEFT,HED00027,301,STEREOFLR,Floorstanding Speakers,Speakers,CED,End of Service Life,SNICKERS,1/1/1991,1/1/1996,N/A,ComplianceDate,This is very important target…
